segmentId,newSegmentId,frc,streetName,speedLimit,distance,averageSpeed,date,time,timeSet,dateRange,harmonicAverageSpeed,medianSpeed,standardDeviationSpeed,shape,travelTimeStandardDeviation,sampleSize,averageTravelTime,medianTravelTime,travelTimeRatio,speedPercentiles,hour,POI
-1.46E+13,-00004d59-3500-0400-0000-000001851ed9,1,Lebuhraya Tebrau,50,11.21,25.6,2024/8/11,20,2,1,10.1,25.1,13.7,"[{'latitude': 1.47268, 'longitude': 103.76235}, {'latitude': 1.47277, 'longitude': 103.76238}]",8.73,2858,3.99,1.61,1,"[2, 6, 11, 14, 16, 19, 21, 22, 23, 25, 27, 29, 31, 33, 35, 37, 39, 43, 47]",20,34
-1.46E+13,-00004d59-3500-0400-0000-000001851edd,1,Lebuhraya Tebrau,50,11.36,42.2,2024/8/11,21,2,1,22.7,32.2,25.1,"[{'latitude': 1.4731, 'longitude': 103.76277}, {'latitude': 1.47304, 'longitude': 103.76275}, {'latitude': 1.47301, 'longitude': 103.76274}]",3.25,4689,1.8,1.27,1,"[9, 16, 20, 22, 24, 26, 27, 29, 30, 32, 35, 39, 48, 59, 66, 71, 75, 80, 86]",21,36
-1.46E+13,-00004d59-3500-0400-0000-000001851ede,1,Lebuhraya Tebrau,50,5.62,41.2,2024/8/11,8,2,1,17.8,31,26.2,"[{'latitude': 1.47315, 'longitude': 103.76279}, {'latitude': 1.4731, 'longitude': 103.76277}]",2.98,4681,1.14,0.65,1,"[8, 13, 17, 19, 22, 24, 25, 27, 29, 31, 34, 39, 48, 59, 67, 71, 76, 80, 87]",8,36
-1.46E+13,-00004d59-3500-0400-0000-000001851eed,1,Jalan Lingkaran Dalam,50,89.66,42.4,2024/8/10,19,2,1,33.7,42.1,12.3,"[{'latitude': 1.47308, 'longitude': 103.76299}, {'latitude': 1.47306, 'longitude': 103.76304}, {'latitude': 1.47285, 'longitude': 103.76351}, {'latitude': 1.47276, 'longitude': 103.76373}]",14.89,20555,9.59,7.67,1,"[22, 30, 34, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 48, 49, 52, 55, 62]",19,36
-1.46E+13,-00004d59-3500-0400-0000-000001851eee,1,Jalan Lingkaran Dalam,50,7.09,37.5,2024/8/10,10,2,1,25.8,35.9,13.4,"[{'latitude': 1.4731, 'longitude': 103.76293}, {'latitude': 1.47308, 'longitude': 103.76299}]",3.84,15841,0.99,0.71,1,"[18, 24, 27, 29, 30, 31, 33, 34, 35, 36, 37, 38, 40, 41, 43, 46, 49, 54, 62]",10,36
-1.46E+13,-00004d59-3500-0400-0000-000001851ef6,1,Lebuhraya Tebrau,50,15.92,38.4,2024/8/11,9,2,1,5.6,28.6,29.1,"[{'latitude': 1.47329, 'longitude': 103.76282}, {'latitude': 1.47323, 'longitude': 103.76281}, {'latitude': 1.4732, 'longitude': 103.7628}, {'latitude': 1.47315, 'longitude': 103.76279}]",24.48,4598,10.33,2,1,"[1, 2, 5, 12, 16, 19, 22, 24, 26, 29, 33, 39, 49, 60, 67, 72, 76, 81, 87]",9,36
-1.46E+13,-00004d59-3500-0400-0000-000001851ef7,1,Lebuhraya Tebrau,50,9.81,29.3,2024/8/11,19,2,1,9.1,28,17.5,"[{'latitude': 1.47338, 'longitude': 103.76284}, {'latitude': 1.47329, 'longitude': 103.76282}]",11.07,24354,3.89,1.26,1,"[2, 8, 13, 17, 20, 22, 24, 26, 27, 28, 29, 30, 32, 33, 35, 38, 42, 50, 68]",19,36
-1.46E+13,-00004d59-3500-0400-0000-000001851f0f,1,Jalan Lingkaran Dalam,50,17.4,22.2,2024/8/10,11,2,1,7.1,22,14.1,"[{'latitude': 1.47273, 'longitude': 103.76308}, {'latitude': 1.47278, 'longitude': 103.76293}]",18.32,19800,8.86,2.85,1,"[1, 3, 6, 10, 13, 15, 17, 19, 21, 22, 23, 25, 26, 28, 29, 32, 34, 39, 46]",11,35
-1.46E+13,-00004d59-3500-0400-0000-000001851f10,1,Jalan Lingkaran Dalam,50,44.21,24,2024/8/11,10,2,1,9,23.5,16.1,"[{'latitude': 1.47259, 'longitude': 103.76345}, {'latitude': 1.47273, 'longitude': 103.76308}]",25.44,19520,17.76,6.77,1,"[2, 3, 5, 7, 10, 14, 17, 19, 21, 24, 25, 27, 30, 32, 35, 38, 41, 45, 51]",10,36
-1.46E+13,-00004d59-3500-0400-0000-0000018523bf,1,Jalan Tun Abdul Razak,50,140.13,40.2,2024/8/10,10,2,1,19.8,45.4,19.1,"[{'latitude': 1.46645, 'longitude': 103.75981}, {'latitude': 1.4664, 'longitude': 103.75991}, {'latitude': 1.46636, 'longitude': 103.76}, {'latitude': 1.46634, 'longitude': 103.76005}, {'latitude': 1.46632, 'longitude': 103.76009}, {'latitude': 1.4663, 'longitude': 103.76018}, {'latitude': 1.46626, 'longitude': 103.7603}, {'latitude': 1.46622, 'longitude': 103.76048}, {'latitude': 1.46619, 'longitude': 103.76062}, {'latitude': 1.46617, 'longitude': 103.76084}, {'latitude': 1.46617, 'longitude': 103.76102}]",34.99,16566,25.52,11.11,1,"[5, 7, 10, 19, 29, 36, 39, 42, 44, 45, 47, 49, 50, 52, 54, 56, 58, 60, 64]",10,26
